월,전체결제수,이용고객수,신규고객수,재구매고객수,복귀고객수,신규_구매금액,재구매_구매금액,재구매_평균구매금액,신규_평균구매금액,신규_결제금액,재구매_결제금액,재구매_평균결제금액,신규_평균결제금액,이탈율
201901,4359,3264,3264,0,0,129393220,0,,39642.5306372549,88867985,0,,27226.711090686276,0.0
201902,7156,5722,5342,380,0,178244750,15373560,40456.73684210526,33366.66978659678,125530400,10932819,28770.576315789473,23498.764507675027,0.0
201903,9579,7746,6674,1072,0,192509390,34270050,31968.330223880595,28844.679352712017,137225814,24555012,22905.794776119405,20561.25471980821,0.0
201904,8922,7067,5226,1805,36,185576000,65315090,36185.64542936288,35510.14159969384,132418753,46255412,25626.26703601108,25338.45254496747,0.44699754901960786
201905,8949,6826,4765,1862,199,208214560,83075750,44616.40708915145,43696.654774396644,149197281,59507838,31959.096670247047,31311.076810073453,0.6745893044390073
201906,10907,8891,6326,2183,382,194899700,104857400,48033.623453962435,30809.310780904205,142935819,76318929,34960.572148419604,22594.976130256087,0.7181771236767364
201907,14587,11835,7765,2902,1168,235918200,135679190,46753.68366643694,30382.25370251127,170643314,98161781,33825.56202618883,21975.95801674179,0.5893589925003537
201908,12607,10011,6171,3118,722,188658060,158773290,50921.51699807569,30571.716091395236,137178579,116171839,37258.447402180886,22229.554205153137,0.5432171110460006
201909,12829,9995,5564,3581,850,169080720,169798780,47416.58196034627,30388.339324227174,121652644,121381406,33895.95252722703,21864.242271746945,0.5972331571251828
201910,19133,15200,8826,4447,1927,258416950,220573340,49600.48122329661,29279.056197598005,181750929,157071919,35320.87227344277,20592.672671651937,0.6242501056189269
201911,10474,8279,3931,3391,957,127560260,187690850,55349.7051017399,32449.824472144493,91940014,134746839,39736.60837511058,23388.454337318748,0.6612726001398461
201912,17918,14443,7615,4643,2185,209219380,229173770,49358.985569674776,27474.63952724885,148148851,162499823,34998.88498815421,19454.87209455023,0.5354677338669335
202001,11921,8696,2358,4624,1714,103919050,268994650,58173.58347750865,44070.84393553859,72711452,184257937,39848.16976643599,30836.0695504665,0.6957894736842105
202002,11798,8424,2070,4431,1923,78739590,257046090,58010.85308056872,38038.44927536232,57995613,185379333,41836.906567366284,28017.204347826086,0.4647904336272497
202003,9972,7120,1457,3958,1705,48941990,209059030,52819.36078827691,33590.93342484557,36730428,154373389,39002.87746336534,25209.62800274537,0.725957211105726
202004,8422,6323,1157,3522,1644,40900110,211150240,59951.80011357184,35350.13828867761,30625271,150686131,42784.250709823966,26469.55142610199,0.5949862005519779
202005,6473,5122,1026,2538,1558,32285950,115593100,45544.95665878645,31467.78752436647,24158464,74358590,29298.104806934592,23546.261208576998,0.6987179487179487
202006,4983,4168,592,1898,1678,16596800,75231050,39637.01264488936,28035.135135135137,12756608,46853557,24685.751844046365,21548.324324324323,0.7334269662921349
202007,7175,5560,798,2314,2448,20145870,110025710,47547.84356093345,25245.45112781955,15719934,67678759,29247.51901469317,19699.165413533836,0.6340344773050768
202008,1353,1173,128,581,464,3384990,23874340,41091.80722891566,26445.234375,2528170,14647863,25211.468158347678,19751.328125,0.8865677469738383
